,War,Fertility,Wisdom,Love,Nature,Sea,Sky,Forests,Underworld,Horses,Metals,Storms,Music,Trade,Wind,Fire,Death,Darkness,Sun,Travel,Moon,Order,Chaos,Mountains,Winter,Water,Law
Metals,0.31655701994895935,0.16562657058238983,0.1851954460144043,0.23344764113426208,0.36331456899642944,0.31382930278778076,0.1994154453277588,0.1858426183462143,0.25199949741363525,0.23477579653263092,1.0,0.23648646473884583,0.3784227967262268,0.24886241555213928,0.2577991187572479,0.34601011872291565,0.24727803468704224,0.2298467606306076,0.270403116941452,0.2153494656085968,0.2848285138607025,0.22714318335056305,0.17626464366912842,0.23456409573554993,0.2881608307361603,0.3984605073928833,0.2423568069934845
Storms,0.37088942527770996,0.12960746884346008,0.23322820663452148,0.2512848973274231,0.38559484481811523,0.3008785545825958,0.4467511475086212,0.36940932273864746,0.2496246099472046,0.26893648505210876,0.23648646473884583,1.0,0.3412308692932129,0.23469862341880798,0.6346572637557983,0.40608757734298706,0.2936665415763855,0.43879762291908264,0.41130125522613525,0.2334194779396057,0.2876865267753601,0.24427443742752075,0.4694676101207733,0.38890475034713745,0.49266111850738525,0.36520349979400635,0.21798786520957947
Music,0.43999892473220825,0.16160808503627777,0.29059088230133057,0.37424519658088684,0.3903346359729767,0.37785911560058594,0.34261757135391235,0.310935378074646,0.3464197516441345,0.33885878324508667,0.3784227967262268,0.3412308692932129,1.0,0.22388216853141785,0.3776383399963379,0.41050639748573303,0.40158337354660034,0.31483331322669983,0.2632591724395752,0.3304763436317444,0.38187217712402344,0.32525449991226196,0.35413262248039246,0.30604130029678345,0.3793720006942749,0.43191251158714294,0.3560289740562439
Trade,0.35635578632354736,0.09231695532798767,0.2249578833580017,0.37354815006256104,0.24021974205970764,0.2794435918331146,0.2519564628601074,0.23354338109493256,0.22920094430446625,0.23068909347057343,0.24886241555213928,0.23469862341880798,0.22388216853141785,1.0,0.2479925900697708,0.2912401258945465,0.2434188723564148,0.25660163164138794,0.26891475915908813,0.26324471831321716,0.24125824868679047,0.3962605595588684,0.2599667012691498,0.20241135358810425,0.24433040618896484,0.2458333522081375,0.20474761724472046
Wind,0.41993144154548645,0.21800458431243896,0.2368565797805786,0.2866726219654083,0.4128723442554474,0.3673577606678009,0.5163891315460205,0.3103637099266052,0.23651406168937683,0.2944386303424835,0.2577991187572479,0.6346572637557983,0.3776383399963379,0.2479925900697708,1.0,0.41043245792388916,0.33791080117225647,0.40415897965431213,0.4956774413585663,0.2703762650489807,0.34209877252578735,0.2745779752731323,0.3543106019496918,0.3909366726875305,0.4172888696193695,0.3973310887813568,0.2755296230316162
Fire,0.5189794898033142,0.18484525382518768,0.3552436828613281,0.4254937767982483,0.41160261631011963,0.37388134002685547,0.3723291754722595,0.3820899426937103,0.3656270205974579,0.31179556250572205,0.34601011872291565,0.40608757734298706,0.41050639748573303,0.2912401258945465,0.41043245792388916,1.0,0.5075313448905945,0.4898638427257538,0.43822020292282104,0.26455146074295044,0.34830522537231445,0.33545899391174316,0.4165498912334442,0.33639368414878845,0.46592849493026733,0.42805999517440796,0.3824811577796936
Death,0.5209308862686157,0.27224844694137573,0.3579939007759094,0.44438400864601135,0.32013386487960815,0.3096020221710205,0.3408617079257965,0.26910462975502014,0.3999938666820526,0.3016173839569092,0.24727803468704224,0.2936665415763855,0.40158337354660034,0.2434188723564148,0.33791080117225647,0.5075313448905945,1.0,0.4772775173187256,0.3255409002304077,0.3443942666053772,0.33667489886283875,0.33905529975891113,0.45159631967544556,0.2613368034362793,0.41116154193878174,0.39705193042755127,0.37103551626205444
Darkness,0.4141126871109009,0.17644880712032318,0.29973986744880676,0.3343300521373749,0.37120679020881653,0.31444063782691956,0.488150954246521,0.31712448596954346,0.4841231107711792,0.2826957106590271,0.2298467606306076,0.43879762291908264,0.31483331322669983,0.25660163164138794,0.40415897965431213,0.4898638427257538,0.4772775173187256,1.0,0.5223401784896851,0.3030953109264374,0.3920260965824127,0.3058750033378601,0.45853397250175476,0.2741788327693939,0.45027029514312744,0.3654945492744446,0.25559645891189575
Sun,0.36002281308174133,0.20833484828472137,0.3149348795413971,0.3254757523536682,0.4283164143562317,0.3676185607910156,0.5519417524337769,0.31384286284446716,0.3336954712867737,0.24396422505378723,0.270403116941452,0.41130125522613525,0.2632591724395752,0.26891475915908813,0.4956774413585663,0.43822020292282104,0.3255409002304077,0.5223401784896851,1.0,0.27881282567977905,0.49653732776641846,0.29871100187301636,0.25798913836479187,0.3136672079563141,0.4797739088535309,0.40108799934387207,0.26303189992904663
Travel,0.35427799820899963,0.14443637430667877,0.22708682715892792,0.2794875502586365,0.27051153779029846,0.36036306619644165,0.33717048168182373,0.27585625648498535,0.2793305814266205,0.2767581641674042,0.2153494656085968,0.2334194779396057,0.3304763436317444,0.26324471831321716,0.2703762650489807,0.26455146074295044,0.3443942666053772,0.3030953109264374,0.27881282567977905,1.0,0.345723032951355,0.2635081708431244,0.30132806301116943,0.30275970697402954,0.3081963360309601,0.3449157178401947,0.3109859228134155
Moon,0.41029495000839233,0.20301851630210876,0.2989792227745056,0.28804153203964233,0.43306678533554077,0.4325386881828308,0.5033022165298462,0.3092671036720276,0.39559751749038696,0.4066532254219055,0.2848285138607025,0.2876865267753601,0.38187217712402344,0.24125824868679047,0.34209877252578735,0.34830522537231445,0.33667489886283875,0.3920260965824127,0.49653732776641846,0.345723032951355,1.0,0.29665517807006836,0.28836435079574585,0.34319087862968445,0.3747696876525879,0.37766140699386597,0.2807224690914154
Order,0.2903777062892914,0.10585623979568481,0.2839038670063019,0.29040324687957764,0.2857402265071869,0.3063057065010071,0.2723166346549988,0.21543601155281067,0.25256121158599854,0.28571414947509766,0.22714318335056305,0.24427443742752075,0.32525449991226196,0.3962605595588684,0.2745779752731323,0.33545899391174316,0.33905529975891113,0.3058750033378601,0.29871100187301636,0.2635081708431244,0.29665517807006836,1.0,0.3255283832550049,0.22680553793907166,0.2796328365802765,0.3353158235549927,0.30104750394821167
Chaos,0.4174387753009796,0.1937912255525589,0.2827027142047882,0.3289109468460083,0.35810941457748413,0.3091045618057251,0.32342830300331116,0.25735726952552795,0.45714259147644043,0.23335513472557068,0.17626464366912842,0.4694676101207733,0.35413262248039246,0.2599667012691498,0.3543106019496918,0.4165498912334442,0.45159631967544556,0.45853397250175476,0.25798913836479187,0.30132806301116943,0.28836435079574585,0.3255283832550049,1.0,0.2064632922410965,0.2553892731666565,0.31117865443229675,0.2505020797252655
Mountains,0.2861900329589844,0.13990184664726257,0.2323799729347229,0.2320411205291748,0.4324275255203247,0.3847346305847168,0.44533616304397583,0.49654054641723633,0.26469260454177856,0.35429880023002625,0.23456409573554993,0.38890475034713745,0.30604130029678345,0.20241135358810425,0.3909366726875305,0.33639368414878845,0.2613368034362793,0.2741788327693939,0.3136672079563141,0.30275970697402954,0.34319087862968445,0.22680553793907166,0.2064632922410965,1.0,0.40255436301231384,0.3161650598049164,0.21186360716819763
Winter,0.4544559419155121,0.16887350380420685,0.20217691361904144,0.32010287046432495,0.39882126450538635,0.33478236198425293,0.38343608379364014,0.33529403805732727,0.25664448738098145,0.32895272970199585,0.2881608307361603,0.49266111850738525,0.3793720006942749,0.24433040618896484,0.4172888696193695,0.46592849493026733,0.41116154193878174,0.45027029514312744,0.4797739088535309,0.3081963360309601,0.3747696876525879,0.2796328365802765,0.2553892731666565,0.40255436301231384,1.0,0.3817541301250458,0.2953795790672302
Water,0.41232720017433167,0.22618286311626434,0.3376654386520386,0.3314150273799896,0.45100894570350647,0.552457332611084,0.3428761065006256,0.3108581602573395,0.2467411756515503,0.35479894280433655,0.3984605073928833,0.36520349979400635,0.43191251158714294,0.2458333522081375,0.3973310887813568,0.42805999517440796,0.39705193042755127,0.3654945492744446,0.40108799934387207,0.3449157178401947,0.37766140699386597,0.3353158235549927,0.31117865443229675,0.3161650598049164,0.3817541301250458,1.0,0.2911164462566376
Law,0.43425726890563965,0.23208867013454437,0.23165522515773773,0.30055519938468933,0.3487548232078552,0.34217241406440735,0.2581923305988312,0.31004366278648376,0.27223074436187744,0.2791687250137329,0.2423568069934845,0.21798786520957947,0.3560289740562439,0.20474761724472046,0.2755296230316162,0.3824811577796936,0.37103551626205444,0.25559645891189575,0.26303189992904663,0.3109859228134155,0.2807224690914154,0.30104750394821167,0.2505020797252655,0.21186360716819763,0.2953795790672302,0.2911164462566376,1.0
